,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,40,AU,1567717259,93,-42.78,147.06,280.37,3.1
1,Rabo de Peixe,40,PT,1567717021,82,37.8,-25.58,294.82,3.6
2,Jacareacanga,0,BR,1567717021,62,-6.22,-57.76,305.15,1.0
3,Namibe,99,AO,1567717227,89,-15.19,12.15,291.155,4.07
4,Bluff,0,AU,1567717281,31,-23.58,149.07,290.755,1.72
5,Saint-Philippe,1,CA,1567717281,43,45.36,-73.48,295.15,4.1
6,Kaitangata,100,NZ,1567717022,80,-46.28,169.85,280.37,7.6
7,Fort Nelson,20,CA,1567716685,40,58.81,-122.69,293.15,4.1
8,Bambous Virieux,20,MU,1567717022,83,-20.34,57.76,294.15,0.5
9,San Felipe,100,CL,1567717022,97,-32.75,-70.73,287.04,0.99
10,Atuona,36,PF,1567717282,72,-9.8,-139.03,299.155,3.62
11,Tiruchchirappalli,40,IN,1567717023,62,10.82,78.68,302.15,5.1
12,Belmonte,0,PT,1567717023,30,40.36,-7.35,295.37,4.07
13,Bosaso,12,SO,1567717023,69,11.28,49.18,304.355,4.29
14,Nouadhibou,21,MR,1567716907,65,20.93,-17.03,299.15,3.1
15,Dryden,90,CA,1567717024,93,49.79,-92.84,287.15,1.53
16,Lagoa,0,PT,1567717282,88,37.14,-8.45,297.59,0.5
17,Itagiba,91,BR,1567717024,60,-29.52,-50.57,287.59,1.79
18,Oktyabrskiy,0,RU,1567717024,87,55.61,37.97,289.26,2.15
19,Kavaratti,98,IN,1567716997,82,10.57,72.64,300.955,8.75
20,Fairbanks,1,US,1567717202,67,64.84,-147.72,288.71,1.5
21,Pundaguitan,100,PH,1567717025,80,6.37,126.17,300.655,2.21
22,Ushuaia,20,AR,1567717283,90,-54.81,-68.31,279.15,8.7
23,Portree,100,GB,1567717025,94,57.41,-6.19,285.93,6.71
24,Kapaa,40,US,1567717283,62,22.08,-159.32,304.15,7.2
25,Port Elizabeth,20,US,1567717283,61,39.31,-74.98,299.26,4.1
26,Yellowknife,90,CA,1567716987,87,62.45,-114.38,283.15,3.1
27,Klaksvik,100,FO,1567717022,93,62.23,-6.59,282.15,3.1
28,Celestun,28,MX,1567717025,79,20.87,-90.4,301.655,7.16
29,Tucumcari,1,US,1567717026,19,35.17,-103.73,308.15,5.7
30,Mar del Plata,97,AR,1567716985,69,-46.43,-67.52,277.655,7.12
31,Chuy,75,UY,1567717284,72,-33.69,-53.46,282.255,4.19
32,Tuktoyaktuk,75,CA,1567717284,81,69.44,-133.03,282.15,2.6
33,Mawlaik,100,MM,1567717026,97,23.63,94.42,295.355,0.9
34,Ust-Nera,100,RU,1567717027,88,64.57,143.24,274.755,2.0
35,Borovichi,54,RU,1567717027,87,58.39,33.91,284.555,2.51
36,Nalut,15,LY,1567716690,66,31.86,10.98,295.655,7.6
37,Assiniboia,0,CA,1567717027,40,49.63,-105.99,297.255,6.61
38,Esperance,40,AU,1567717285,93,-33.86,121.89,276.15,3.1
39,Castro,40,CL,1567717286,57,-42.48,-73.76,282.15,1.5
40,Pudozh,100,RU,1567717028,79,61.81,36.54,285.055,3.26
41,Vostok,64,RU,1567717028,97,46.45,135.83,288.655,0.96
42,Mataura,98,NZ,1567717286,90,-46.19,168.86,280.93,4.47
43,Saint-Ambroise,75,CA,1567717028,62,48.56,-71.32,289.82,5.1
44,Qaanaaq,62,GL,1567717287,55,77.48,-69.36,273.255,2.79
45,Banamba,86,ML,1567717029,79,13.55,-7.45,297.055,7.12
46,Belaya Gora,81,RU,1567717029,64,68.54,146.19,277.955,2.93
47,Chiredzi,0,ZW,1567717029,30,-21.05,31.67,293.155,2.85
48,Nikolskoye,0,RU,1567717287,77,59.7,30.79,288.15,2.0
49,Punta Arenas,0,CL,1567717288,80,-53.16,-70.91,279.15,3.1
50,Souillac,0,FR,1567717288,48,45.6,-0.6,290.15,4.1
51,Forio,0,IT,1567717029,73,40.73,13.86,298.15,1.5
52,Georgetown,20,GY,1567717082,58,6.8,-58.16,306.15,5.1
53,Voi,97,KE,1567717030,81,-3.4,38.57,293.455,2.91
54,Albany,1,US,1567717096,52,42.65,-73.75,295.37,3.6
55,Kodiak,1,US,1567717289,70,39.95,-94.76,307.59,4.1
56,Cherskiy,84,RU,1567717030,69,68.75,161.3,279.155,2.82
57,Cabo San Lucas,75,MX,1567716758,58,22.89,-109.91,307.15,2.1
58,Baracoa,23,CU,1567717031,78,20.35,-74.5,301.855,3.89
59,Hobart,40,AU,1567717231,93,-42.88,147.33,280.37,3.1
60,Linxia,100,CN,1567717031,70,35.6,103.21,286.655,1.77
61,Clyde River,75,CA,1567717031,87,70.47,-68.59,279.15,3.1
62,Rikitea,100,PF,1567717290,76,-23.12,-134.97,293.955,5.6
63,Talnakh,75,RU,1567717290,93,69.49,88.39,283.15,6.0
64,Khor,93,RU,1567717032,93,47.88,134.96,289.155,2.85
65,Busselton,0,AU,1567717290,65,-33.64,115.35,277.04,4.7
66,Airai,91,TL,1567717290,82,-8.93,125.41,292.355,1.69
67,Tabou,78,CI,1567717032,93,4.42,-7.36,296.655,2.29
68,Barrow,100,AR,1567717291,57,-38.31,-60.23,281.155,3.55
69,Tucupita,43,VE,1567717032,79,9.06,-62.05,301.755,3.73
70,Aragats,22,AM,1567717033,43,40.22,44.23,295.15,6.7
71,Zaqatala,75,AZ,1567717033,68,41.63,46.65,294.15,3.1
72,Sioux Lookout,90,CA,1567717033,93,50.1,-91.92,288.15,1.0
73,Lebu,40,ET,1567717291,82,8.96,38.73,286.15,1.0
74,Victoria,75,BN,1567717291,88,5.28,115.24,300.15,0.5
75,Ca Mau,55,VN,1567717033,87,9.18,105.15,298.155,1.66
76,Abu Dhabi,0,AE,1567717034,79,24.47,54.37,306.15,3.1
77,Alindao,100,CF,1567717034,95,5.04,21.21,293.655,1.02
78,Mackenzie,1,CA,1567717034,77,55.34,-123.09,288.15,1.5
79,Kargasok,79,RU,1567717034,83,59.06,80.87,279.855,1.75
80,Quatre Cocos,20,MU,1567717292,83,-20.21,57.76,294.15,0.5
81,Vaini,100,IN,1567717292,94,15.34,74.49,297.655,3.4
82,Irkutsk,40,RU,1567717035,100,52.29,104.28,283.15,3.0
83,Port-Gentil,90,GA,1567717035,88,-0.72,8.78,298.15,5.1
84,Bandarbeyla,44,SO,1567717035,73,9.49,50.81,297.655,10.66
85,Renfrew,8,CA,1567717036,60,45.47,-76.68,295.37,1.45
86,Calderitas,40,MX,1567717036,63,18.55,-88.26,306.15,5.7
87,Christchurch,100,NZ,1567717036,93,-43.53,172.64,282.04,7.2
88,Buala,81,SB,1567717294,82,-8.15,159.59,298.755,7.51
89,Anadyr,75,RU,1567717037,81,64.73,177.51,282.15,2.21
90,Vanavara,22,RU,1567717037,96,60.35,102.28,273.955,2.44
91,Butaritari,83,KI,1567717294,71,3.07,172.79,302.255,4.74
92,San Ignacio,58,PE,1567717037,76,-5.15,-79.0,295.055,1.42
93,Hobyo,52,SO,1567717069,81,5.35,48.53,298.255,12.09
94,Mayo,75,CA,1567717038,54,63.59,-135.9,287.15,1.0
95,Yerbogachen,100,RU,1567717038,97,61.28,108.01,279.555,2.24
96,Banjar,100,ID,1567717038,97,-7.37,108.54,292.555,0.23
97,Dikson,100,RU,1567717295,96,73.51,80.55,279.555,3.43
98,Avarua,84,CK,1567717007,69,-21.21,-159.78,297.15,10.3
99,Nemuro,85,JP,1567717039,90,43.32,145.57,290.655,4.67
100,Adrar,40,DZ,1567717295,27,27.87,-0.29,304.15,4.1
101,Cidreira,30,BR,1567717295,65,-30.17,-50.22,286.455,4.15
102,Salalah,75,OM,1567717179,88,17.01,54.1,300.15,2.1
103,Upernavik,0,GL,1567717296,80,72.79,-56.15,278.055,1.68
104,Jamestown,100,AU,1567717296,82,-33.21,138.6,281.255,8.97
105,Evanston,1,US,1567716999,53,42.04,-87.69,298.15,4.1
106,Shenjiamen,67,CN,1567717040,85,29.96,122.3,299.855,6.55
107,Pangnirtung,40,CA,1567717040,76,66.15,-65.72,282.15,4.6
108,Bredasdorp,11,ZA,1567717297,67,-34.53,20.04,287.59,6.2
109,Xichang,72,CN,1567717041,95,27.88,102.25,284.955,1.03
110,Rocha,94,UY,1567716986,80,-34.48,-54.34,279.455,3.15
111,Ancud,40,CL,1567717297,57,-41.87,-73.83,282.15,1.5
112,Ludvika,14,SE,1567717041,87,60.15,15.18,283.15,3.6
113,Saskylakh,100,RU,1567717297,92,71.97,114.09,278.255,4.73
114,Hithadhoo,54,MV,1567717298,79,-0.6,73.08,301.155,6.17
115,Hofn,95,IS,1567717041,95,64.25,-15.21,275.355,1.68
116,Omboue,99,GA,1567717042,83,-1.57,9.26,297.155,5.53
117,Fortuna,90,US,1567717298,77,40.6,-124.16,295.37,4.6
118,Hazaribag,71,IN,1567717042,94,23.98,85.35,296.855,2.18
119,Ilulissat,40,GL,1567717042,52,69.22,-51.1,281.15,2.6
120,Cape Town,0,ZA,1567717299,72,-33.93,18.42,288.71,4.6
121,Srednekolymsk,100,RU,1567717043,65,67.46,153.71,278.755,4.32
122,Chokurdakh,100,RU,1567717299,79,70.62,147.9,275.455,2.86
123,Ostrovnoy,100,RU,1567717043,84,68.05,39.51,285.355,8.27
124,Zimovniki,24,RU,1567717043,31,47.15,42.46,291.855,6.0
125,Gorontalo,21,ID,1567717209,95,0.54,123.06,294.155,0.74
126,Rivne,100,UA,1567717043,84,50.62,26.25,285.93,2.04
127,Broken Hill,75,AU,1567717043,54,-31.97,141.45,285.15,7.2
128,Los Lunas,1,US,1567717044,15,34.81,-106.76,308.71,1.5
129,Richards Bay,100,ZA,1567717044,78,-28.77,32.06,291.955,11.3
130,Arraial do Cabo,90,BR,1567717044,93,-22.97,-42.02,291.15,4.6
131,Sitka,0,US,1567717300,28,37.17,-99.65,309.26,7.15
132,Hilo,75,US,1567717300,66,19.71,-155.08,302.15,3.1
133,Necochea,100,AR,1567717031,69,-38.55,-58.74,283.15,3.13
134,Chumikan,62,RU,1567716876,81,54.72,135.31,283.255,3.04
135,Longyearbyen,75,NO,1567717301,80,78.22,15.63,274.15,5.7
136,Beringovskiy,66,RU,1567717045,79,63.05,179.32,282.555,0.92
137,Kijang,40,KR,1567717045,88,35.24,129.21,297.15,2.1
138,Ribeira Grande,75,PT,1567717301,78,38.52,-28.7,295.15,3.6
139,Puerto Ayora,0,EC,1567717201,57,-0.74,-90.35,300.15,5.1
140,Yazykovo,75,RU,1567717046,78,54.3,47.38,284.555,1.05
141,Ponta do Sol,79,BR,1567717301,41,-20.63,-46.0,299.555,3.01
142,Ishigaki,100,JP,1567717046,79,24.34,124.16,301.655,14.55
143,Aginskoye,33,RU,1567717046,86,51.11,114.54,284.255,1.95
144,La Ronge,90,CA,1567717302,77,55.1,-105.3,289.15,6.2
145,East London,100,ZA,1567717302,74,-33.02,27.91,285.055,1.75
146,Pesochenskiy,0,RU,1567717046,93,54.17,36.11,288.15,2.0
147,Dumas,75,IN,1567717003,94,21.09,72.71,300.15,8.68
148,Pevek,81,RU,1567717302,75,69.7,170.27,279.055,0.64
149,Torbay,90,CA,1567717303,88,47.66,-52.73,295.15,7.7
150,Sangar,65,RU,1567717047,88,63.92,127.47,275.455,0.24
151,Dunedin,100,NZ,1567717271,67,-45.87,170.5,282.59,8.05
152,Port Alfred,99,ZA,1567717303,59,-33.59,26.89,288.71,1.79
153,Tezu,53,IN,1567717303,72,27.93,96.16,296.755,0.78
154,Atyrau,0,KZ,1567717047,47,47.1,51.92,287.15,2.0
155,Hasaki,75,JP,1567717048,100,35.73,140.83,296.15,1.0
156,Geraldton,90,CA,1567717304,100,49.72,-86.95,283.15,3.1
157,Vila Franca do Campo,40,PT,1567717048,82,37.72,-25.43,294.82,3.6
158,Gamba,88,CN,1567717304,76,28.28,88.52,278.455,1.75
159,Putina,75,PE,1567717048,50,-14.91,-69.87,285.15,7.2
160,Cap Malheureux,20,MU,1567717049,83,-19.98,57.61,294.15,0.5
161,Havre,1,US,1567717049,30,48.55,-109.68,300.15,1.5
162,Kindu,0,CD,1567717304,65,-2.95,25.92,297.555,1.12
163,Iqaluit,40,CA,1567717305,61,63.75,-68.52,282.15,3.1
164,Carnarvon,0,ZA,1567717305,62,-30.97,22.13,283.155,8.72
165,Fecamp,0,FR,1567717049,54,49.76,0.37,287.15,3.6
166,Berdigestyakh,97,RU,1567716751,98,62.1,126.7,279.855,1.41
167,Shakawe,0,BW,1567717050,19,-18.36,21.84,294.355,2.49
168,Comarapa,100,BO,1567717050,40,-17.91,-64.53,294.155,4.88
169,Faanui,48,PF,1567717306,82,-16.48,-151.75,297.655,10.65
170,Hermanus,0,ZA,1567717306,80,-34.42,19.24,288.15,6.71
171,Tautira,75,PF,1567717050,61,-17.73,-149.15,300.15,3.6
172,Zaysan,41,KZ,1567717051,47,47.47,84.87,286.355,2.58
173,Khatanga,100,RU,1567717306,97,71.98,102.47,281.955,2.06
174,Leshukonskoye,100,RU,1567717051,90,64.9,45.76,283.055,2.27
175,Mahibadhoo,50,MV,1567717051,74,3.78,72.97,301.655,2.98
176,Sao Filipe,100,CV,1567717008,81,14.9,-24.5,299.555,6.8
177,Mogadishu,20,SO,1567716932,74,2.04,45.34,299.15,7.7
178,Neiafu,75,TO,1567717052,83,-18.65,-173.98,296.15,2.6
179,Siilinjarvi,0,FI,1567717052,82,63.08,27.67,289.15,12.9
180,Meulaboh,92,ID,1567717052,80,4.14,96.13,301.155,3.6
181,Krasnyy Kut,0,RU,1567717052,32,47.1,40.67,291.155,5.47
182,Thompson,90,CA,1567717307,46,55.74,-97.86,285.15,1.5
183,Praid,2,RO,1567717053,87,46.55,25.12,287.15,1.0
184,Praia,0,BR,1567717053,50,-20.25,-43.81,299.15,7.2
185,Ushumun,0,RU,1567717053,89,52.78,126.54,282.955,0.95
186,Kokopo,57,PG,1567717053,93,-4.34,152.27,294.655,1.11
187,Mendeleyevo,90,RU,1567717054,100,56.04,37.23,289.26,3.0
188,Saint-Paul,0,FR,1567717054,71,45.22,1.9,288.71,2.6
189,Okhotsk,55,RU,1567717054,54,59.36,143.24,284.355,7.48
190,Katsuura,20,JP,1567717308,94,33.93,134.5,298.15,3.1
191,Tunceli,0,TR,1567717054,28,39.11,39.55,296.15,3.1
192,Prado,0,CO,1567717055,18,3.75,-74.93,313.355,2.84
193,Krasnoyarskiy,100,RU,1567717055,89,51.97,59.9,283.255,2.61
194,Alugan,100,PH,1567717055,94,12.22,125.48,297.655,2.02
195,Mount Gambier,75,AU,1567716999,100,-37.83,140.78,280.15,1.5
196,Kokoda,89,PG,1567717055,90,-8.88,147.74,288.255,0.28
197,Saint George,20,GR,1567717056,68,39.45,22.34,295.15,0.49
198,Ketchikan,20,US,1567717056,93,55.34,-131.65,288.15,1.86
199,Lompoc,1,US,1567717309,28,34.64,-120.46,308.71,3.6
200,Buchanan,40,LR,1567717056,94,5.88,-10.05,298.15,5.5
201,Lorengau,94,PG,1567716991,86,-2.02,147.27,298.255,2.98
202,Swinoujscie,0,PL,1567717057,71,53.91,14.25,288.71,3.1
203,Narsaq,100,GL,1567717028,55,60.91,-46.05,282.15,1.5
204,Kruisfontein,2,ZA,1567717310,82,-34.0,24.73,282.455,4.62
205,Paso de los Toros,0,UY,1567717057,33,-32.81,-56.52,287.15,6.2
206,Tasiilaq,75,GL,1567717310,61,65.61,-37.64,282.15,4.1
207,Bonthe,100,SL,1567717058,92,7.53,-12.5,298.055,3.51
208,Broome,20,GB,1567717058,76,52.47,1.45,286.48,3.1
209,Vao,97,EE,1567717058,88,59.1,26.19,288.755,3.91
210,Codrington,90,AU,1567717058,100,-28.95,153.24,285.93,3.6
211,Cabanas,0,BR,1567717059,76,-8.41,-36.34,293.555,5.6
212,Bethel,90,US,1567717255,76,60.79,-161.76,286.15,9.8
213,Mao,40,DO,1567716802,41,19.55,-71.08,309.15,7.2
214,Tena,75,EC,1567717059,88,-0.99,-77.82,302.15,0.57
215,Kendari,20,ID,1567717059,97,-3.99,122.52,293.955,0.75
216,Sao Borja,70,BR,1567717018,71,-28.66,-56.0,288.455,3.9
217,Karabulak,100,KZ,1567717059,81,44.91,78.49,287.555,1.97
218,Tazovskiy,56,RU,1567717060,88,67.47,78.7,281.455,6.01
219,Houston,1,US,1567716994,30,29.76,-95.37,311.48,1.5
220,Provideniya,75,RU,1567717060,87,64.42,-173.23,282.15,2.0
221,Winnemucca,0,US,1567717060,26,40.97,-117.74,304.26,1.34
222,Waingapu,100,ID,1567717312,91,-9.65,120.26,292.555,2.57
223,Kutum,33,SD,1567717060,60,14.2,24.66,297.955,2.13
224,Bandiagara,31,ML,1567717312,61,14.35,-3.61,301.055,5.1
225,Kavieng,27,PG,1567717313,74,-2.57,150.8,300.955,4.37
226,Kaohsiung,75,TW,1567717065,88,22.62,120.31,299.15,2.1
227,Igarka,97,RU,1567717313,90,67.47,86.57,282.555,2.77
228,Severo-Kurilsk,100,RU,1567717313,97,50.68,156.12,283.555,4.03
229,Havoysund,40,NO,1567717314,87,71.0,24.66,282.15,5.1
230,Saveh,0,IR,1567717314,37,35.02,50.36,289.055,0.01
231,Riverton,1,US,1567717154,14,43.02,-108.38,306.15,1.19
232,San Juan Bautista,100,PY,1567717314,71,-26.67,-57.15,290.255,3.84
233,Makakilo City,20,US,1567717314,52,21.35,-158.09,306.15,4.6
234,Trat,100,TH,1567717314,88,12.25,102.51,301.48,0.83
235,Karachi,75,PK,1567717315,83,24.87,67.03,302.15,5.1
236,Hoi An,40,VN,1567717188,78,15.88,108.33,300.15,1.0
237,Wahiawa,20,US,1567717315,52,21.5,-158.02,306.15,4.6
238,Kovur,100,IN,1567717315,67,14.5,79.99,300.255,4.22
239,Show Low,40,US,1567717315,16,34.25,-110.03,307.04,3.1
240,Luoyang,0,CN,1567717316,67,34.66,112.42,290.255,0.66
241,Aleksandrovskoye,1,RU,1567717316,100,56.74,85.39,282.59,1.0
242,DAULTALA,20,PK,1567717316,88,33.19,73.14,300.93,3.6
243,Hay River,75,CA,1567717316,71,60.82,-115.79,287.15,7.7
244,Dalby,0,AU,1567717317,39,-27.18,151.26,289.82,3.1
245,Alice Springs,0,AU,1567717317,44,-23.7,133.88,288.15,3.6
246,San Patricio,100,PY,1567717317,78,-26.98,-56.83,288.755,2.24
247,Yulara,0,AU,1567717317,37,-25.24,130.99,285.15,7.7
248,Maamba,0,ZM,1567717318,28,-17.36,27.22,293.055,1.65
249,Fukue,75,JP,1567717318,94,35.03,136.69,298.71,3.1
250,Belfast,100,GB,1567717318,72,54.6,-5.93,288.15,5.7
251,Norman Wells,75,CA,1567717318,93,65.28,-126.83,285.15,4.1
252,Boende,53,CD,1567717319,75,-0.28,20.88,297.255,1.17
253,Rome,0,IT,1567717225,68,41.89,12.48,297.04,2.1
254,Shimoda,59,JP,1567717319,88,34.7,138.93,296.48,2.29
255,Labuhan,98,ID,1567717319,87,-2.54,115.51,294.655,0.37
256,Karaton,40,ID,1567717319,69,-6.34,106.1,298.15,1.5
257,Nanortalik,100,GL,1567717320,75,60.14,-45.24,279.455,1.4
258,Saldanha,0,PT,1567717320,44,41.42,-6.55,291.255,7.79
259,Reitz,100,ZA,1567717320,72,-27.8,28.43,283.755,8.89
260,Bathsheba,40,BB,1567717320,79,13.22,-59.52,302.15,2.6
261,Yushu,100,CN,1567717321,96,44.84,126.53,291.855,1.85
262,Mamallapuram,40,IN,1567717321,66,12.63,80.17,303.15,4.1
263,Gerash,0,IR,1567717321,35,27.67,54.14,303.15,1.02
264,Shingu,65,JP,1567717321,98,33.72,135.99,292.655,2.39
265,Juigalpa,40,NI,1567717322,49,12.1,-85.37,307.15,2.1
266,Astana,0,KZ,1567717322,93,51.13,71.43,282.15,1.0
267,Luganville,75,VU,1567717322,64,-15.51,167.18,297.15,3.1
268,Hit,0,IQ,1567717322,28,33.64,42.83,303.055,3.07
269,Umm Lajj,0,SA,1567717323,65,25.02,37.27,303.055,5.42
270,High Level,20,CA,1567717323,59,58.52,-117.13,290.15,3.1
271,Darnah,0,LY,1567717323,76,32.77,22.64,299.255,4.07
272,Abaza,0,RU,1567717323,90,52.65,90.1,277.855,1.2
273,Lalmohan,94,BD,1567717323,84,22.34,90.74,301.055,4.74
274,San Cristobal,10,HN,1567717324,34,14.68,-86.92,304.155,4.98
275,Sibu,75,MY,1567717324,94,2.29,111.83,299.15,1.5
276,Mahebourg,20,MU,1567717324,83,-20.41,57.7,294.15,0.5
277,Faranah,100,GN,1567717324,94,10.04,-10.74,295.455,2.26
278,Zharkent,98,KZ,1567717325,74,44.17,80.0,281.755,1.43
279,Tevaitoa,91,PF,1567717268,81,-16.78,-151.5,297.155,10.53
280,Surt,0,LY,1567717325,77,31.21,16.59,299.355,3.94
281,Saint-Augustin,75,CA,1567717325,49,45.63,-73.98,294.26,4.1
282,Namatanai,100,PG,1567717326,85,-3.66,152.44,298.055,8.73
283,Babushkin,100,RU,1567717326,92,51.72,105.86,282.655,3.05
284,Eirunepe,98,BR,1567717326,44,-6.66,-69.87,305.355,0.19
285,Chapais,75,CA,1567717326,46,49.78,-74.86,285.15,6.2
286,Jian,84,IN,1567717326,83,25.65,87.89,301.155,3.88
287,Candido Mendes,23,BR,1567717327,77,-1.45,-45.72,298.855,1.77
288,Grenfell,72,AU,1567717327,43,-33.9,148.16,283.255,3.57
289,Devils Lake,90,US,1567717327,64,48.11,-98.87,297.15,6.7
290,Puerto Carreno,40,CO,1567717327,62,6.19,-67.49,303.15,3.0
291,Russell,1,US,1567717209,34,38.9,-98.86,310.93,7.7
292,Shelburne,1,CA,1567717086,46,44.08,-80.2,296.48,4.6
293,Abnub,0,EG,1567717328,45,27.27,31.15,303.15,4.1
294,De Aar,5,ZA,1567717328,73,-30.65,24.01,281.755,9.1
295,Pangody,100,RU,1567717328,76,65.85,74.49,285.055,5.65
296,Cerignola,40,IT,1567717328,88,41.26,15.9,296.15,1.5
297,Xinqing,40,CN,1567717329,98,48.28,129.53,289.055,0.78
298,Jardim,100,BR,1567717329,35,-21.48,-56.15,304.955,1.36
299,Alexandria,0,RO,1567717146,60,43.97,25.33,292.59,3.18
300,Carahue,75,CL,1567717329,76,-38.71,-73.16,286.15,2.6
301,Reforma,40,MX,1567717330,43,24.02,-104.65,295.93,1.5
302,Marawi,98,PH,1567717330,85,8.0,124.29,297.59,2.68
303,Mont-de-Marsan,0,FR,1567717330,67,43.89,-0.5,288.15,2.1
304,Vila do Maio,75,CV,1567717330,83,15.13,-23.22,300.15,6.2
305,Lydenburg,0,ZA,1567717142,81,-25.1,30.46,285.755,2.37
306,Jumla,98,NP,1567717331,95,29.28,82.18,286.255,0.9
307,Buraydah,40,SA,1567717331,19,26.33,43.97,311.15,8.7
308,Liverpool,0,GB,1567717331,82,53.41,-2.98,287.15,3.1
309,Zeerust,98,ZA,1567717331,21,-25.54,26.07,295.15,3.6
310,Ugoofaaru,100,MV,1567717331,80,5.67,73.0,301.055,3.88
311,Abalak,52,NE,1567717332,46,15.46,6.28,304.455,3.55
